"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"627",438,462,619,786,848,19,"65","2016"
"628",438,498,619,845,848,19,"67","2016"
"629",464,467,619,845,848,19,"69","2016"
"630",438,463,619,797,918,19,"71","2016"
"631",438,462,619,768,981,19,"73","2016"
"632",478,569,729,972,1199,19,"75","2016"
"633",577,682,844,1149,1249,19,"77","2016"
"634",406,492,658,838,995,19,"79","2016"
"635",438,531,619,813,962,19,"81","2016"
"636",438,462,619,845,1022,19,"83","2016"
"637",516,666,836,1127,1233,19,"85","2016"
"638",502,505,619,845,848,19,"87","2016"
"639",438,494,619,768,848,19,"89","2016"
"640",438,462,619,818,901,19,"91","2016"
"641",438,477,619,841,903,19,"93","2016"
"642",438,520,619,902,1080,19,"95","2016"
"643",438,521,619,845,848,19,"97","2016"
"644",405,499,656,830,970,19,"99","2016"
"645",441,534,715,887,980,19,"101","2016"
"646",552,665,863,1258,1507,19,"103","2016"
"647",409,495,663,894,990,19,"105","2016"
"648",438,462,619,845,848,19,"107","2016"
"649",438,462,619,902,986,19,"109","2016"
"650",393,491,637,822,896,19,"111","2016"
"651",451,546,731,1046,1122,19,"113","2016"
"652",494,497,665,825,912,19,"115","2016"
"653",438,462,619,839,848,19,"117","2016"
"654",438,484,619,768,877,19,"119","2016"
"655",577,682,844,1149,1249,19,"121","2016"
"656",474,518,670,868,918,19,"123","2016"
"657",528,532,712,884,1204,19,"125","2016"
"658",465,520,663,878,961,19,"127","2016"
"659",516,666,836,1127,1233,19,"129","2016"
"660",459,462,619,780,848,19,"131","2016"
"661",459,462,619,810,848,19,"133","2016"
"662",445,476,630,782,864,19,"135","2016"
"663",438,492,619,845,848,19,"137","2016"
"664",531,561,751,975,1053,19,"139","2016"
"665",459,462,619,845,848,19,"141","2016"
"666",438,462,619,805,848,19,"143","2016"
"667",382,462,619,854,947,19,"145","2016"
"668",438,474,619,845,848,19,"147","2016"
"669",387,474,628,779,872,19,"149","2016"
"670",438,504,619,828,884,19,"151","2016"
"671",577,682,844,1149,1249,19,"153","2016"
"672",516,666,836,1127,1233,19,"155","2016"
"673",456,520,645,843,915,19,"157","2016"
"674",438,494,619,768,848,19,"159","2016"
"675",438,489,619,869,872,19,"161","2016"
"676",449,556,712,936,993,19,"163","2016"
"677",450,475,636,833,872,19,"165","2016"
"678",438,500,619,791,848,19,"167","2016"
"679",509,634,778,1084,1231,19,"169","2016"
"680",452,477,639,814,884,19,"171","2016"
"681",438,515,619,768,878,19,"173","2016"
"682",438,490,619,809,848,19,"175","2016"
